id,location_id,store_name,period_start,period_end,guests_per_negative,loaded_at
127,112-0003,Lawton (OK),2026-01-01,2026-01-28,1205.4,2026-04-03T19:22:18.585506+00:00
128,112-0003,Lawton (OK),2026-01-29,2026-02-25,7704.0,2026-04-03T19:22:18.585506+00:00
129,112-0003,Lawton (OK),2026-02-26,2026-03-25,2175.75,2026-04-03T19:22:18.585506+00:00
130,112-0003,Lawton (OK),2026-03-26,2026-04-22,2435.0,2026-04-03T19:22:18.585506+00:00
131,112-0004,Ardmore (OK),2022-12-29,2023-01-25,2875.0,2026-04-03T19:22:18.585506+00:00
132,112-0004,Ardmore (OK),2023-01-26,2023-02-22,8388.0,2026-04-03T19:22:18.585506+00:00
133,112-0004,Ardmore (OK),2023-02-23,2023-03-22,2726.5,2026-04-03T19:22:18.585506+00:00
134,112-0004,Ardmore (OK),2023-03-23,2023-04-19,10601.0,2026-04-03T19:22:18.585506+00:00
135,112-0004,Ardmore (OK),2023-04-20,2023-05-17,2630.25,2026-04-03T19:22:18.585506+00:00
136,112-0004,Ardmore (OK),2023-05-18,2023-06-14,1868.33,2026-04-03T19:22:18.585506+00:00
137,112-0004,Ardmore (OK),2023-06-15,2023-07-12,2355.0,2026-04-03T19:22:18.585506+00:00
138,112-0004,Ardmore (OK),2023-07-13,2023-08-09,1659.43,2026-04-03T19:22:18.585506+00:00
139,112-0004,Ardmore (OK),2023-08-10,2023-09-06,4860.0,2026-04-03T19:22:18.585506+00:00
140,112-0004,Ardmore (OK),2023-09-07,2023-10-04,4813.0,2026-04-03T19:22:18.585506+00:00
141,112-0004,Ardmore (OK),2023-10-05,2023-11-01,1176.88,2026-04-03T19:22:18.585506+00:00
142,112-0004,Ardmore (OK),2023-11-02,2023-11-29,1681.0,2026-04-03T19:22:18.585506+00:00
143,112-0004,Ardmore (OK),2023-11-30,2023-12-27,2369.75,2026-04-03T19:22:18.585506+00:00
144,112-0004,Ardmore (OK),2023-12-28,2024-01-24,1411.5,2026-04-03T19:22:18.585506+00:00
145,112-0004,Ardmore (OK),2024-01-25,2024-02-21,2212.25,2026-04-03T19:22:18.585506+00:00
146,112-0004,Ardmore (OK),2024-02-22,2024-03-20,1075.0,2026-04-03T19:22:18.585506+00:00
147,112-0004,Ardmore (OK),2024-03-21,2024-04-17,3655.67,2026-04-03T19:22:18.585506+00:00
148,112-0004,Ardmore (OK),2024-04-18,2024-05-15,3470.67,2026-04-03T19:22:18.585506+00:00
149,112-0004,Ardmore (OK),2024-05-16,2024-06-12,1510.88,2026-04-03T19:22:18.585506+00:00
150,112-0004,Ardmore (OK),2024-06-13,2024-07-10,1344.78,2026-04-03T19:22:18.585506+00:00
151,112-0004,Ardmore (OK),2024-07-11,2024-08-07,2930.25,2026-04-03T19:22:18.585506+00:00
152,112-0004,Ardmore (OK),2024-08-08,2024-09-04,2006.6,2026-04-03T19:22:18.585506+00:00
153,112-0004,Ardmore (OK),2024-09-05,2024-10-02,1630.67,2026-04-03T19:22:18.585506+00:00
154,112-0004,Ardmore (OK),2024-10-03,2024-10-30,1231.0,2026-04-03T19:22:18.585506+00:00
155,112-0004,Ardmore (OK),2024-10-31,2024-11-27,4581.0,2026-04-03T19:22:18.585506+00:00
156,112-0004,Ardmore (OK),2024-11-28,2024-12-25,963.11,2026-04-03T19:22:18.585506+00:00
157,112-0004,Ardmore (OK),2024-12-26,2025-01-22,2521.0,2026-04-03T19:22:18.585506+00:00
158,112-0004,Ardmore (OK),2025-01-23,2025-02-19,2582.33,2026-04-03T19:22:18.585506+00:00
159,112-0004,Ardmore (OK),2025-02-20,2025-03-19,1572.67,2026-04-03T19:22:18.585506+00:00
160,112-0004,Ardmore (OK),2025-03-20,2025-04-16,1995.0,2026-04-03T19:22:18.585506+00:00
161,112-0004,Ardmore (OK),2025-04-17,2025-05-14,1095.33,2026-04-03T19:22:18.585506+00:00
162,112-0004,Ardmore (OK),2025-05-15,2025-06-11,1132.44,2026-04-03T19:22:18.585506+00:00
163,112-0004,Ardmore (OK),2025-06-12,2025-07-09,685.27,2026-04-03T19:22:18.585506+00:00
164,112-0004,Ardmore (OK),2025-07-10,2025-08-06,704.79,2026-04-03T19:22:18.585506+00:00
165,112-0004,Ardmore (OK),2025-08-07,2025-09-03,2939.0,2026-04-03T19:22:18.585506+00:00
166,112-0004,Ardmore (OK),2025-09-04,2025-10-01,1392.83,2026-04-03T19:22:18.585506+00:00
167,112-0004,Ardmore (OK),2025-10-02,2025-10-29,2855.33,2026-04-03T19:22:18.585506+00:00
168,112-0004,Ardmore (OK),2025-10-30,2025-11-26,4108.0,2026-04-03T19:22:18.585506+00:00
169,112-0004,Ardmore (OK),2025-11-27,2025-12-31,1759.5,2026-04-03T19:22:18.585506+00:00
170,112-0004,Ardmore (OK),2026-01-01,2026-01-28,6721.0,2026-04-03T19:22:18.585506+00:00
171,112-0004,Ardmore (OK),2026-01-29,2026-02-25,1527.0,2026-04-03T19:22:18.585506+00:00
172,112-0004,Ardmore (OK),2026-02-26,2026-03-25,1280.75,2026-04-03T19:22:18.585506+00:00
173,112-0004,Ardmore (OK),2026-03-26,2026-04-22,2762.0,2026-04-03T19:22:18.585506+00:00
174,112-0005,Durant (OK),2022-12-29,2023-01-25,1814.75,2026-04-03T19:22:18.585506+00:00
175,112-0005,Durant (OK),2023-01-26,2023-02-22,6926.0,2026-04-03T19:22:18.585506+00:00
176,112-0005,Durant (OK),2023-02-23,2023-03-22,4257.0,2026-04-03T19:22:18.585506+00:00
177,112-0005,Durant (OK),2023-03-23,2023-04-19,2447.67,2026-04-03T19:22:18.585506+00:00
178,112-0005,Durant (OK),2023-04-20,2023-05-17,2630.0,2026-04-03T19:22:18.585506+00:00
179,112-0005,Durant (OK),2023-05-18,2023-06-14,1101.5,2026-04-03T19:22:18.585506+00:00
180,112-0005,Durant (OK),2023-06-15,2023-07-12,783.0,2026-04-03T19:22:18.585506+00:00
181,112-0005,Durant (OK),2023-07-13,2023-08-09,1573.6,2026-04-03T19:22:18.585506+00:00
182,112-0005,Durant (OK),2023-08-10,2023-09-06,1013.57,2026-04-03T19:22:18.585506+00:00
183,112-0005,Durant (OK),2023-09-07,2023-10-04,3514.0,2026-04-03T19:22:18.585506+00:00
184,112-0005,Durant (OK),2023-10-05,2023-11-01,1684.0,2026-04-03T19:22:18.585506+00:00
185,112-0005,Durant (OK),2023-11-02,2023-11-29,1204.67,2026-04-03T19:22:18.585506+00:00
186,112-0005,Durant (OK),2023-11-30,2023-12-27,2213.0,2026-04-03T19:22:18.585506+00:00
187,112-0005,Durant (OK),2023-12-28,2024-01-24,1268.4,2026-04-03T19:22:18.585506+00:00
188,112-0005,Durant (OK),2024-01-25,2024-02-21,1049.33,2026-04-03T19:22:18.585506+00:00
189,112-0005,Durant (OK),2024-02-22,2024-03-20,989.38,2026-04-03T19:22:18.585506+00:00
190,112-0005,Durant (OK),2024-03-21,2024-04-17,4083.0,2026-04-03T19:22:18.585506+00:00
191,112-0005,Durant (OK),2024-04-18,2024-05-15,7918.0,2026-04-03T19:22:18.585506+00:00
192,112-0005,Durant (OK),2024-05-16,2024-06-12,8424.0,2026-04-03T19:22:18.585506+00:00
193,112-0005,Durant (OK),2024-06-13,2024-07-10,1786.2,2026-04-03T19:22:18.585506+00:00
194,112-0005,Durant (OK),2024-07-11,2024-08-07,2941.33,2026-04-03T19:22:18.585506+00:00
195,112-0005,Durant (OK),2024-08-08,2024-09-04,7769.0,2026-04-03T19:22:18.585506+00:00
196,112-0005,Durant (OK),2024-09-05,2024-10-02,8027.0,2026-04-03T19:22:18.585506+00:00
197,112-0005,Durant (OK),2024-10-03,2024-10-30,4032.5,2026-04-03T19:22:18.585506+00:00
198,112-0005,Durant (OK),2024-10-31,2024-11-27,936.88,2026-04-03T19:22:18.585506+00:00
199,112-0005,Durant (OK),2024-11-28,2024-12-25,229.48,2026-04-03T19:22:18.585506+00:00
200,112-0005,Durant (OK),2024-12-26,2025-01-22,992.5,2026-04-03T19:22:18.585506+00:00
201,112-0005,Durant (OK),2025-01-23,2025-02-19,836.25,2026-04-03T19:22:18.585506+00:00
202,112-0005,Durant (OK),2025-02-20,2025-03-19,512.27,2026-04-03T19:22:18.585506+00:00
203,112-0005,Durant (OK),2025-03-20,2025-04-16,1045.57,2026-04-03T19:22:18.585506+00:00
204,112-0005,Durant (OK),2025-04-17,2025-05-14,1189.5,2026-04-03T19:22:18.585506+00:00
205,112-0005,Durant (OK),2025-05-15,2025-06-11,3660.0,2026-04-03T19:22:18.585506+00:00
206,112-0005,Durant (OK),2025-06-12,2025-07-09,1224.33,2026-04-03T19:22:18.585506+00:00
207,112-0005,Durant (OK),2025-07-10,2025-08-06,692.1,2026-04-03T19:22:18.585506+00:00
208,112-0005,Durant (OK),2025-08-07,2025-09-03,301.5,2026-04-03T19:22:18.585506+00:00
209,112-0005,Durant (OK),2025-09-04,2025-10-01,401.8,2026-04-03T19:22:18.585506+00:00
210,112-0005,Durant (OK),2025-10-02,2025-10-29,383.5,2026-04-03T19:22:18.585506+00:00
211,112-0005,Durant (OK),2025-10-30,2025-11-26,1518.75,2026-04-03T19:22:18.585506+00:00
212,112-0005,Durant (OK),2025-11-27,2025-12-31,945.86,2026-04-03T19:22:18.585506+00:00
213,112-0005,Durant (OK),2026-01-01,2026-01-28,1805.0,2026-04-03T19:22:18.585506+00:00
214,112-0005,Durant (OK),2026-01-29,2026-02-25,6154.0,2026-04-03T19:22:18.585506+00:00
215,112-0005,Durant (OK),2026-02-26,2026-03-25,1260.0,2026-04-03T19:22:18.585506+00:00
216,112-0005,Durant (OK),2026-03-26,2026-04-22,694.67,2026-04-03T19:22:18.585506+00:00
217,112-0006,Wichita Falls (TX),2022-12-29,2023-01-25,7574.0,2026-04-03T19:22:18.585506+00:00
218,112-0006,Wichita Falls (TX),2023-01-26,2023-02-22,8130.0,2026-04-03T19:22:18.585506+00:00
219,112-0006,Wichita Falls (TX),2023-02-23,2023-03-22,8825.0,2026-04-03T19:22:18.585506+00:00
220,112-0006,Wichita Falls (TX),2023-03-23,2023-04-19,4511.5,2026-04-03T19:22:18.585506+00:00
