id,week_start,location_id,store_name,dm,revenue_band,hourly_goal,source,status
201,2026-04-23,112-0007,Gainesville (TX),Steve,<25k,422.0,draft,draft
202,2026-04-23,112-0008,Lufkin (TX),Miriam,30k-35k,504.0,draft,draft
203,2026-04-23,112-0009,Nacogdoches (TX),Miriam,25k-30k,420.0,draft,draft
204,2026-04-23,112-0010,Little Elm (TX),Steve,<25k,422.0,draft,draft
205,2026-04-23,112-0011,Princeton (TX),Miriam,<25k,422.0,draft,draft
206,2026-04-23,112-0012,Amelia (OH),Renee,<25k,422.0,draft,draft
207,2026-04-23,112-0013,Milford (OH),Renee,<25k,422.0,draft,draft
208,2026-04-23,112-0014,Cincinnati - Winton Rd (OH),Renee,<25k,422.0,draft,draft
209,2026-04-23,112-0015,Centerville (OH),Cody,45k-50k,849.0,draft,draft
210,2026-04-23,112-0016,Cincinnati - Red Bank Rd (OH),Renee,<25k,422.0,draft,draft
211,2026-04-23,112-0017,West Chester (OH),Cody,30k-35k,504.0,draft,draft
212,2026-04-23,112-0018,Harrison (OH),Renee,30k-35k,504.0,draft,draft
213,2026-04-23,112-0019,Streetsboro (OH),Alex,<25k,422.0,draft,draft
214,2026-04-23,112-0020,Strongsville (OH),Alex,<25k,422.0,draft,draft
215,2026-04-23,112-0021,Loveland (OH),Renee,30k-35k,504.0,draft,draft
216,2026-04-23,112-0022,Avon (OH),Alex,<25k,422.0,draft,draft
217,2026-04-23,112-0023,Lorain (OH),Alex,<25k,422.0,draft,draft
218,2026-04-23,112-0024,Beavercreek (OH),Cody,25k-30k,420.0,draft,draft
219,2026-04-23,112-0026,Fairfield (OH),Alex,<25k,422.0,draft,draft
220,2026-04-23,112-0027,Florence (KY),Alex,<25k,422.0,draft,draft
221,2026-04-23,112-0028,Englewood - S Main (OH),Cody,30k-35k,504.0,draft,draft
222,2026-04-23,112-0029,Grove City (OH),Cody,<25k,422.0,draft,draft
223,2026-04-23,112-0030,Hilliard (OH),Cody,<25k,422.0,draft,draft
224,2026-04-23,112-0031,McAlester (OK),Dottie,<25k,422.0,draft,draft
225,2026-04-23,112-0032,Plano (TX),Miriam,<25k,422.0,draft,draft
226,2026-04-23,112-0033,Brownwood (TX),Steve,<25k,422.0,draft,draft
