id,week_start,location_id,actual_hours,hourly_goal,variance,net_sales,labor_pct,loaded_payroll
223,2026-03-19,112-0021,399.9,559.0,-159.1,31513.1,0.20417223313479158,6434.1
224,2026-03-19,112-0006,508.24,559.0,-50.76,30799.59,0.23962461837966026,7380.34
225,2026-03-19,112-0007,447.31,422.0,25.31,21159.82,0.2825444639888241,5978.59
226,2026-03-19,112-0010,434.59,422.0,12.59,23272.01,0.2571595663631977,5984.62
227,2026-03-19,112-0033,455.36,422.0,33.36,28446.39,0.21059965781246762,5990.8
228,2026-03-19,112-0036,661.63,620.0,41.63,36291.45,0.25209822148191935,9149.01
318,2026-04-02,112-0038,1041.1,849.0,192.1,39409.78,0.3571961071591874,14077.02
319,2026-04-02,112-0001,530.41,559.0,-28.59,29719.71,0.25484535347081116,7573.93
320,2026-04-02,112-0003,499.29,473.0,26.29,23883.27,0.2741919343540478,6548.6
321,2026-04-02,112-0004,457.05,559.0,-101.95,26827.09,0.22747752365239765,6102.56
322,2026-04-02,112-0005,441.0,422.0,19.0,17435.69,0.3356821553950547,5852.85
323,2026-04-02,112-0008,506.43,559.0,-52.57,29097.67,0.2316725016126721,6741.13
324,2026-04-02,112-0009,445.12,473.0,-27.88,24891.11,0.22869610877136454,5692.5
325,2026-04-02,112-0011,501.55,473.0,28.55,21550.2,0.3156212007313157,6801.7
326,2026-04-02,112-0032,504.24,473.0,31.24,24320.47,0.2857510566202051,6949.6
327,2026-04-02,112-0034,437.2,473.0,-35.8,17481.54,0.3313277891993497,5792.12
328,2026-04-02,112-0037,596.89,620.0,-23.11,22001.45,0.3994359462671778,8788.17
329,2026-04-02,112-0012,387.08,473.0,-85.92,25412.25,0.23021928400672906,5850.39
330,2026-04-02,112-0013,425.99,473.0,-47.01,25655.84,0.24657738744862767,6326.15
331,2026-04-02,112-0014,383.59,422.0,-38.41,19915.37,0.28671824826754416,5710.1
332,2026-04-02,112-0016,437.17,422.0,15.17,21887.83,0.282142176725605,6175.48
333,2026-04-02,112-0018,518.57,559.0,-40.43,30752.15,0.25375233926733576,7803.43
334,2026-04-02,112-0021,394.13,559.0,-164.87,27103.17,0.22700850121959903,6152.65
335,2026-04-02,112-0006,791.11,559.0,232.11,28624.28,0.4004726057738396,11463.24
336,2026-04-02,112-0007,435.02,422.0,13.02,18185.93,0.3234621490349957,5882.46
337,2026-04-02,112-0010,481.01,422.0,59.01,21598.91,0.3002443178845599,6484.95
338,2026-04-02,112-0033,437.45,473.0,-35.55,23893.33,0.24326286875877073,5812.36
339,2026-04-02,112-0036,635.2,620.0,15.2,33751.2,0.2603560762284008,8787.33
340,2026-04-09,112-0019,437.23,422.0,15.23,16271.86,0.4021654561924697,6543.98
341,2026-04-09,112-0020,418.67,422.0,-3.33,14415.62,0.44368608495506956,6396.01
342,2026-04-09,112-0022,341.22,422.0,-80.78,12226.97,0.39067569479601244,4776.78
343,2026-04-09,112-0023,421.09,422.0,-0.91,17472.34,0.35120882491984473,6136.44
344,2026-04-09,112-0026,461.24,473.0,-11.76,27146.26,0.27231559706567315,7392.35
345,2026-04-09,112-0027,511.1,473.0,38.1,27044.54,0.3033540226603965,8204.07
346,2026-04-09,112-0015,587.93,849.0,-261.07,45808.01,0.19177235597005848,8784.71
347,2026-04-09,112-0017,527.53,559.0,-31.47,31383.51,0.2729070139063477,8564.78
348,2026-04-09,112-0024,562.42,473.0,89.42,28723.7,0.27474280820367847,7891.63
349,2026-04-09,112-0028,454.02,559.0,-104.98,30266.44,0.21696506097182228,6566.76
350,2026-04-09,112-0029,664.51,473.0,191.51,27843.19,0.31370435643329664,8734.53
351,2026-04-09,112-0030,401.76,422.0,-20.24,18707.47,0.3060098452650198,5724.67
352,2026-04-09,112-0002,702.65,620.0,82.65,35277.44,0.30526648192159067,10769.02
353,2026-04-09,112-0031,490.47,473.0,17.47,22972.77,0.2924161953477965,6717.61
354,2026-04-09,112-0035,875.59,719.0,156.59,40418.51,0.323343191028071,13069.05
355,2026-04-09,112-0038,918.56,719.0,199.56,39021.77,0.3236788080089653,12630.52
356,2026-04-09,112-0001,711.11,559.0,152.11,36899.45,0.2707544421393815,9990.69
